Producto;Pais_Destino;Año;Valor_FOB_Miles_USD;Volumen_Fisico_Ton;Produccion_Nacional_Ton;Precio_Unitario_USD_x_Ton
YODO (28012000);CHINA ;2005;14734.39057;859.4;15346;17.144973900395623
YODO (28012000);INDIA;2005;17238.39025;953.1;15346;18.086654338474453
YODO (28012000);ESTADOS UNIDOS;2005;82801.875;4919.7;15346;16.830675650954326
YODO (28012000);BÉLGICA;2005;82048.80803;4368.95;15346;18.779983298046442
YODO (28012000);HOLANDA;2005;0.0;0.0;15346;
YODO (28012000);BRASIL;2005;18292.7081;1004.4;15346;18.212572779769015
YODO (28012000);NORUEGA;2005;0.0;0.0;15346;
YODO (28012000);ITALIA;2005;0.0;0.0;15346;
YODO (28012000);MÉXICO;2005;5680.13293;293.0;15346;19.386119215017064
YODO (28012000);VIETNAM;2005;48.19593;2.4;15346;20.0816375
YODO (28012000);COREA DEL SUR;2005;2459.87342;123.9;15346;19.85369991928975
YODO (28012000);JAPÓN;2005;17548.878699999997;920.0;15346;19.07486815217391
YODO (28012000);AUSTRALIA;2005;703.4860600000001;34.8;15346;20.21511666666667
YODO (28012000);REINO UNIDO;2005;3585.8922000000002;194.4;15346;18.4459475308642
YODO (28012000);FRANCIA;2005;0.0;0.0;15346;
YODO (28012000);ARGENTINA;2005;1066.3725;54.51;15346;19.56287837094111
YODO (28012000);ESPAÑA;2005;0.0;0.0;15346;
YODO (28012000);NUEVA ZELANDIA;2005;0.0;0.0;15346;
YODO (28012000);ARABIA SAUDITA;2005;0.0;0.0;15346;
YODO (28012000);COLOMBIA;2005;532.1824399999999;26.4;15346;20.158425757575756
YODO (28012000);PERÚ;2005;38.932410000000004;1.85;15346;21.04454594594595
YODO (28012000);COSTA RICA;2005;34.04645;1.6;15346;21.27903125
YODO (28012000);BOLIVIA;2005;12.02153;0.6005;15346;20.019200666111573
YODO (28012000);URUGUAY;2005;35.91527;1.7;15346;21.126629411764707
YODO (28012000);ECUADOR;2005;7.10972;0.4;15346;17.7743
YODO (28012000);GUATEMALA;2005;4.3522;0.2;15346;21.761
YODO (28012000);PARAGUAY;2005;9.26;0.4;15346;23.15
YODO (28012000);MALASIA;2005;0.0;0.0;15346;
YODO (28012000);EL SALVADOR;2005;0.0;0.0;15346;
YODO (28012000);ALEMANIA;2005;677.3509300000001;46.0;15346;14.725020217391306
YODO (28012000);TAIWAN;2005;348.4279;18.0;15346;19.357105555555556
YODO (28012000);SINGAPUR;2005;142.7602;0.0;15346;
YODO (28012000);SINGAPUR;2005;142.7602;7.0;15346;20.394314285714284
YODO (28012000);PANAMÁ;2005;8.84;0.4;15346;22.099999999999998
YODO (28012000);AUSTRIA;2005;0.0;0.0;15346;
YODO (28012000);CANADÁ;2005;2257.1007999999997;126.0;15346;17.91349841269841
YODO (28012000);EGIPTO;2005;0.0;0.0;15346;
YODO (28012000);EMIRATOS ARABES UNIDOS;2005;188.54;10.0;15346;18.854
YODO (28012000);PAKISTAN;2005;0.0;0.0;15346;
YODO (28012000);REPÚBLICA DOMINICANA;2005;4.75;0.2;15346;23.75
YODO (28012000);RUSIA;2005;0.0;0.0;15346;
YODO (28012000);VENEZUELA;2005;93.37956;4.425;15346;21.102725423728813
YODUROS (28276010 / 28276020);CHINA ;2005;3.1743699999999997;0.3;;10.581233333333333
YODUROS (28276010 / 28276020);BRASIL;2005;0.0;0.0;;
YODUROS (28276010 / 28276020);REINO UNIDO;2005;0.0;0.0;;
YODUROS (28276010 / 28276020);COLOMBIA;2005;591.18036;32.3;;18.302797523219816
YODUROS (28276010 / 28276020);COREA DEL SUR;2005;1399.60283;84.4;;16.58297191943128
YODUROS (28276010 / 28276020);FRANCIA;2005;3853.76898;252.125;;15.285152126921169
YODUROS (28276010 / 28276020);INDIA;2005;0.0;0.0;;
YODUROS (28276010 / 28276020);ARGENTINA;2005;64.1816;3.5;;18.337600000000002
YODUROS (28276010 / 28276020);MÉXICO;2005;180.31098;9.65;;18.685075647668395
YODUROS (28276010 / 28276020);PERÚ;2005;160.46377;8.75;;18.338716571428574
YODUROS (28276010 / 28276020);HOLANDA;2005;4.98375;0.225;;22.15
YODUROS (28276010 / 28276020);BÉLGICA;2005;2503.29981;141.5;;17.691164734982333
YODUROS (28276010 / 28276020);BOLIVIA;2005;0.0;0.0;;
YODUROS (28276010 / 28276020);SINGAPUR;2005;28.289830000000002;1.35;;20.95542962962963
YODUROS (28276010 / 28276020);SINGAPUR;2005;28.289830000000002;0.0;;
YODUROS (28276010 / 28276020);GUATEMALA;2005;772.73525;43.6;;17.723285550458712
YODUROS (28276010 / 28276020);PARAGUAY;2005;10.2225;0.5;;20.445
YODUROS (28276010 / 28276020);URUGUAY;2005;23.428990000000002;1.2;;19.524158333333336
YODUROS (28276010 / 28276020);ESTADOS UNIDOS;2005;2923.90417;183.8486;;15.903869651441456
YODUROS (28276010 / 28276020);MAURICIO;2005;0.0;0.0;;
YODUROS (28276010 / 28276020);ECUADOR;2005;8.64028;0.5;;17.28056
YODUROS (28276010 / 28276020);COSTA RICA;2005;0.0;0.0;;
YODUROS (28276010 / 28276020);VIETNAM;2005;101.27922;4.95;;20.460448484848484
YODUROS (28276010 / 28276020);PANAMÁ;2005;0.0;0.0;;
YODUROS (28276010 / 28276020);INDONESIA;2005;0.0;0.0;;
YODUROS (28276010 / 28276020);SINGAPUR;2005;0.0;1.35;;0.0
YODUROS (28276010 / 28276020);SINGAPUR;2005;0.0;0.0;;
YODUROS (28276010 / 28276020);PAKISTÁN;2005;0.0;0.0;;
YODUROS (28276010 / 28276020);NICARAGUA;2005;0.0;0.0;;
YODUROS (28276010 / 28276020);RUSIA;2005;0.0;0.0;;
YODUROS (28276010 / 28276020);SRI LANKA;2005;0.0;0.0;;
YODUROS (28276010 / 28276020);EL SALVADOR;2005;0.0;0.0;;
